Direccion,Numero,geo_point_2d
Plaza Poeta Llorente,5,"39.476895339123786,-0.3711403661399108"
Xátiva - Bailén (Estación del Norte),17,"39.46746831099193,-0.3772593951806123"
Plaza de Tetuán,9,"39.47435533016869,-0.3699303648826442"
Quart - Fernando el Católico,20,"39.47503434099054,-0.3878474253260651"
Escultor José Capuz - Oriente,43,"39.459477276259406,-0.36115334583643566"
"Colón, 60",16,"39.470092316192336,-0.3704333693720587"
Plaza Ayuntamiento - Cotanda,11,"39.47118632283677,-0.3767843903416451"
Calle Salvá - Calle Poeta Querol,12,"39.47196722343732,-0.3740102862977963"
Juan Llorens - Quart,19,"39.47436934054566,-0.391590438798602"
Navarro Reverter - Grabador Esteve,28,"39.47158231958138,-0.36775135880068294"
Conde Altea - Almirante Cadarso,32,"39.46600630156446,-0.3682473649948816"
Colón 20-22,18,"39.468191311513856,-0.37312937987373457"
"Alberique, 18 (Abastos)",25,"39.46772931656263,-0.38861043334080225"
Germanías - Ruzafa,33,"39.46481830023885,-0.37399038562310283"
Peris y Valero - Luis Santángel,37,"39.460937800028375,-0.3664406250017559"
Peris y Valero - Cuba,39,"39.457854277261184,-0.3739313916673185"
Hermanos Maristas - General Urrutia,45,"39.45381925759081,-0.36185535292343096"
Av. Puerto - Serrería,69,"39.46195227384504,-0.3387212679875118"
Av. Puerto 61-63,64,"39.46651829706714,-0.35419531724959286"
Av. Puerto - José Aguilar,68,"39.46280327868023,-0.3417332778594022"
Plaza San Felipe Neri (Mercado Algirós),74,"39.469949307546806,-0.3537343124957471"
Amadeo de Saboya (frente Ayuntamiento),80,"39.47374232444908,-0.36229833944736023"
Jerónimo Monsoriu - Industria,73,"39.4662592905475,-0.3428792786496773"
Aragón - Ernesto Ferrer,79,"39.4727793187067,-0.357242322435451"
Blasco Ibañez - Jaime Roig,85,"39.479464345022826,-0.3647153422684407"
Blasco Ibañez 166 - Pintor José Mongrell,99,"39.47134430635022,-0.3404842660990001"
General Urrutia - Av. de la Plata,44,"39.45642926768604,-0.36301435452576164"
Autopista del Saler - Antonio Ferrandis (C.C. El Saler),50,"39.453318252515686,-0.3528593228128155"
Francia - Pintor Maella,55,"39.45934326975421,-0.34868630411595647"
Baleares - Río Escalona,59,"39.463088285667624,-0.3545493213542055"
"Blasco Ibañez, 32 (F. Filología)",90,"39.47673433298103,-0.3589673254467337"
Blasco Ibañez - Doctor Gómez Ferrer (Clínico),87,"39.47851834019109,-0.36188033357859983"
UPV Caminos,113,"39.48127634089521,-0.3436112694462359"
Músico Hipólito Martínez - Diógenes López Mecho,122,"39.48448535604776,-0.3540663028794564"
Francisco Cubells - San José de la Vega,159,"39.463449276866356,-0.3347222532485526"
Pío XII - Campanar,172,"39.48146236504626,-0.3933454386575609"
Isabel de Villena - Mendizábal,170,"39.482973337910934,-0.32533420529241996"
Alcudia de Crespins - Pedro Patricio Mey,177,"39.493545396079504,-0.3734883620528129"
Reig Genovés - Ramón Contreras Mongrell,178,"39.49221639017785,-0.3705063522665271"
Gran Canaria - Ingeniero Manuel Maese,171,"39.483060339803416,-0.32900821806202085"
Ebanista Caselles - Ausias March,185,"39.45004424948915,-0.3705033850186671"
Esparraguera - Cra. Malilla,191,"39.45032925434954,-0.37886641388495107"
Pescadores - Progreso,154,"39.469876296228996,-0.3295542305651281"
José María de Haro - Justo y Pastor,160,"39.467336291769534,-0.33898126470999496"
Pavía (Instituto Isabel de Villena),169,"39.47878532308192,-0.32464520634897104"
Pío XII - Monestir de Poblet,173,"39.484541375368174,-0.394678441209281"
Juan XXIII - Domingo Gómez,175,"39.49258939642365,-0.38271239433339566"
Benifairó de Valldigna - Joaquín Benlloch,186,"39.45039125246078,-0.3740153970137416"
Hospital Nueva Fe (consultas externas),188,"39.44462122517277,-0.3751583239336074"
Cno. Moncada - Pedro Patricio Mey,176,"39.49201739310727,-0.378853381402734"
Doctor Waksman - Nieves,180,"39.45602126922772,-0.3706833820688013"
Ausias March - Pianista Amparo Iturbi,182,"39.455432269344854,-0.37496539716978367"
Cra. Malilla - Bulevar Sur,190,"39.44608224133691,-0.38029642271654757"
Cra. Malilla - Oltá,192,"39.45263726161547,-0.3787144113919625"
Campillo de Altobuey (Polideportivo),107,"39.47524531713643,-0.3362242490922528"
Naranjos - Ingeniero Fausto Elio,109,"39.4768193210939,-0.3335102388084858"
Luís Peixó 20,108,"39.47382619077011,-0.3339152679031098"
Doctor Vicente Zaragozá - Ramón Asensio,116,"39.48325335356676,-0.3575613154471814"
Gómez Ferrer - Álvaro de Bazán,118,"39.480466345728246,-0.3604163266878076"
Rubén Darío - Plaza Fray Luis Colomer,103,"39.47845333567255,-0.3523713017453889"
Jaime Roig - Bachiller,119,"39.48252035422283,-0.36322633473676447"
Murta - Sant Eperit,121,"39.48618236435413,-0.35877131748144303"
"Masquefa, 42 - 44",125,"39.489693375775445,-0.3586183142345537"
"CALLE SANTA AMALIA  2, esquina POETA BODRIA",131,"39.48141722170027,-0.3729122732215235"
Economista Gay - Constitución,136,"39.48994138447594,-0.37561037166808026"
Reus - Alquería de la Estrella,139,"39.485706374097916,-0.38287339995719183"
Giorgeta - Roig de Corella,195,"39.459384287208486,-0.3842814248129742"
Uruguay - Carteros,193,"39.45514627443484,-0.386718436578698"
Campanar - Nicasio Benlloch,140,"39.48800438494039,-0.3896004206542252"
Gregorio Gea - Padre Ferris,141,"39.483268367245344,-0.3851564091174212"
C/Xàtiva 30-32,148,"39.46714522461298,-0.3753782937388751"
Fontanars dels Aforins - Vall d'Uixó,198,"39.46088029740053,-0.395316462028443"
Beato Nicolás Factor - Convento de Jesús,199,"39.46158829801141,-0.39155844823975844"
Perez Galdós - Nou Moles,201,"39.47171233289752,-0.39366844724894096"
Reina Violante - Escultor García Mas,203,"39.48460937883364,-0.40118246297404103"
